	player_id	player_year	player_team	player_AVG	player_G	player_PA	player_AB	player_R	player_H	player_2B	player_3B	player_HR	player_TB	player_RBI	player_SB	player_CS	player_BB	player_HBP	player_SO	player_GDP	player_SLG	player_OBP	player_E
1614	67504	2020	·Ôµ¥	0.333	2	7	6	1	2	0	0	0	2	0	1	0	1	0	2	0	0.333	0.429	0
1617	77263	2020	µÎ»ê	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1618	68200	2020	µÎ»ê	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1620	62951	2020	µÎ»ê	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1621	50296	2020	µÎ»ê	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1623	64213	2020	µÎ»ê	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1624	50304	2020	Å°¿ò	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1625	67391	2020	Å°¿ò	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1626	65362	2020	Å°¿ò	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1627	62937	2020	Å°¿ò	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1628	68341	2020	Å°¿ò	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1630	61268	2020	Å°¿ò	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1631	65398	2020	Å°¿ò	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1633	64340	2020	Å°¿ò	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0
1634	69360	2020	Å°¿ò	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1635	63894	2020	SK	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1636	64768	2020	SK	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1637	69813	2020	SK	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1638	50840	2020	SK	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1641	66145	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1642	63103	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1646	65136	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1648	78819	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1649	61145	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1656	76650	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1662	79140	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1663	62146	2020	LG	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1667	64995	2020	NC	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1668	69962	2020	NC	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1672	76118	2020	NC	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1675	63950	2020	NC	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1680	65042	2020	NC	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1681	69098	2020	KT	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1683	64029	2020	KT	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1685	67008	2020	KT	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1691	75342	2020	KT	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1693	77563	2020	KT	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1696	65060	2020	KT	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1697	66630	2020	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1699	61365	2020	»ï¼º	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1701	69442	2020	»ï¼º	0	1	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.333	0
1702	69439	2020	»ï¼º	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1704	69403	2020	»ï¼º	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1705	67443	2020	»ï¼º	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1706	65496	2020	»ï¼º	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1709	63543	2020	·Ôµ¥	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1716	78536	2020	·Ôµ¥	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1718	64501	2020	·Ôµ¥	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1722	79293	2020	·Ôµ¥	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1723	64565	2020	·Ôµ¥	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
1726	79545	2020	·Ôµ¥	-	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0
