,player_id ,player_year ,player_team,player_ERA,player_G,player_CG,player_SHO,player_W,player_L,player_SV,player_HLD,player_WPCT,player_TBF,player_IP,player_H,player_HR,player_BB,player_HBP,player_SO,player_R,player_ER
1074,50360,2020,키움,5.40,3,0,0,0,0,0,0,-,15,3 1/3,4,0,1,0,5,2,2
1076,66305,2020,키움,27.00,3,0,0,0,1,0,0,0.000,13,1 2/3,5,0,3,0,1,5,5
1080,60337,2020,LG,23.14,3,0,0,0,0,0,0,-,14,2 1/3,5,0,1,1,1,6,6
1084,61145,2020,LG,36.00,3,0,0,0,0,0,0,-,10,1,3,0,4,0,1,4,4
1098,75258,2020,KT,15.43,3,0,0,0,0,0,0,-,15,2 1/3,6,0,1,2,2,4,4
1099,69098,2020,KT,3.00,3,0,0,0,0,0,0,-,13,3,1,0,4,0,3,1,1
1101,69516,2020,KIA,6.35,3,0,0,0,0,0,0,-,32,5 2/3,9,1,7,1,0,4,4
1102,66663,2020,KIA,4.91,3,0,0,0,0,0,0,-,18,3 2/3,4,1,2,1,2,2,2
1105,68703,2020,한화,6.75,3,0,0,0,0,0,0,-,14,2 2/3,5,0,0,0,4,3,2
1108,63961,2020,한화,6.00,3,0,0,0,0,0,0,-,14,3,4,1,2,0,1,2,2
1110,67246,2020,두산,6.75,2,0,0,0,0,0,0,-,9,1 1/3,4,0,1,0,2,1,1
1113,68249,2020,두산,18.00,2,0,0,0,0,0,0,-,18,3,9,0,1,0,3,6,6
1116,64805,2020,두산,27.00,2,0,0,0,0,0,0,-,9,1,3,0,2,0,0,3,3
1117,50815,2020,SK,6.75,2,0,0,0,2,0,0,0.000,52,10 2/3,16,1,4,0,6,11,8
1119,63103,2020,LG,0.00,2,0,0,0,0,0,0,-,9,1 2/3,1,0,3,0,2,0,0
1126,78819,2020,LG,20.25,2,0,0,0,0,0,0,-,8,1 1/3,4,1,0,0,0,3,3
1127,67954,2020,NC,4.91,2,0,0,0,0,0,0,-,35,7 1/3,6,1,7,0,7,4,4
1129,69054,2020,KT,16.20,2,0,0,0,0,0,0,-,22,3 1/3,11,0,2,0,2,6,6
1131,69068,2020,KT,13.50,2,0,0,0,0,0,0,-,13,2,6,1,1,0,1,3,3
1134,68701,2020,한화,5.40,2,0,0,0,1,0,0,0.000,38,8 1/3,11,3,4,2,9,5,5
1149,73750,2020,한화,7.36,2,0,0,0,0,0,0,-,19,3 2/3,7,1,1,0,4,5,3
1150,50592,2020,롯데,27.00,2,0,0,0,0,0,0,-,6,2/3,3,0,1,0,0,2,2
1151,50556,2020,롯데,4.50,2,0,0,0,0,0,0,-,8,2,2,0,0,0,1,1,1
1152,62294,2020,두산,-,1,0,0,0,0,0,0,-,2,0,0,0,2,0,0,2,2
1155,66018,2020,키움,6.75,1,0,0,0,0,0,0,-,7,1 1/3,2,0,1,1,0,1,1
1157,69328,2020,키움,0.00,1,0,0,0,0,0,0,-,3,1,0,0,0,0,0,0,0
1166,60264,2020,키움,10.13,1,0,0,0,0,0,0,-,13,2 2/3,5,1,0,0,3,3,3
1171,65509,2020,키움,0.00,1,0,0,0,0,0,0,-,3,1,0,0,0,0,0,0,0
1173,69111,2020,LG,18.00,1,0,0,0,0,0,0,-,7,1,3,0,2,0,0,2,2
1175,69974,2020,NC,9.00,1,0,0,0,0,0,0,-,10,2,4,1,1,0,1,2,2
1176,50900,2020,NC,-,1,0,0,0,0,0,0,-,1,0,1,0,0,0,0,1,1
1184,62655,2020,NC,0.00,1,0,0,0,0,0,0,-,3,1,0,0,1,0,0,0,0
1188,66047,2020,KT,108.00,1,0,0,0,0,0,0,-,5,1/3,2,0,1,1,0,4,4
1189,66039,2020,KT,-,1,0,0,0,0,0,0,-,6,0,4,0,1,1,0,4,4
